epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1667385306,11/02/2022 10:35:06 +00:00,4,40.458,-80.0118,15212,Chemical,,
1667386824,11/02/2022 11:00:24 +00:00,5,40.4344,-79.928,15217,,,
1667388184,11/02/2022 11:23:04 +00:00,4,40.3032,-79.9148,15025,Industrial,,
1667390003,11/02/2022 11:53:23 +00:00,3,40.4467,-79.9211,15217,,,
1667390140,11/02/2022 11:55:40 +00:00,4,40.4225,-79.9348,15217,"Thick fog, chemical smell",Runny nose,
1667390411,11/02/2022 12:00:11 +00:00,4,40.4311,-79.9602,15213,Sour chemical smell,Nose irritation ,
1667390951,11/02/2022 12:09:11 +00:00,5,40.508,-80.0853,15202,Industrial/chemical ,,Smells like I’m gonna get cancer breathing in these fumes. Wore a mask when I took out my garbage. 
1667391280,11/02/2022 12:14:40 +00:00,5,40.4403,-79.9336,15217,Acrid chemical,"Stinging chest, headache, anger ","Again couldn’t safely walk our son to school due to acrid, chemical industrial soup smell of fog "
1667391594,11/02/2022 12:19:54 +00:00,5,40.4339,-79.876,15218,Chemical ,Dizzy headache,
1667393512,11/02/2022 12:51:52 +00:00,3,40.4704,-80.1418,15136,Industrial,,
1667393787,11/02/2022 12:56:27 +00:00,3,40.3659,-79.7871,15137,"Acrid, industrial, hydrogen sulfide",,
1667394160,11/02/2022 13:02:40 +00:00,3,40.4257,-79.9335,15217,,,
1667394814,11/02/2022 13:13:34 +00:00,5,40.424,-79.8772,15218,Metal n smoke,Eyes watering burning inside nostrils,The fog makes it kind of oppressive this morning
1667396721,11/02/2022 13:45:21 +00:00,5,40.2595,-79.921,15025,,,
1667397648,11/02/2022 14:00:48 +00:00,5,40.2912,-79.9344,15025,String industrial smell from clairton steel. ,,
1667397739,11/02/2022 14:02:19 +00:00,5,40.4858,-80.0481,15212,,,
1667398447,11/02/2022 14:14:07 +00:00,4,40.3026,-80.0592,15102,Sulfur stink,Asthma,Heavy fog. No wind. Disgusting. 
1667398891,11/02/2022 14:21:31 +00:00,5,40.3326,-80.0309,15102,Industrial,,
1667400737,11/02/2022 14:52:17 +00:00,1,40.328,-79.8899,15045,,,
1667403888,11/02/2022 15:44:48 +00:00,3,40.4387,-80.0212,15211,Industrial. Sulfur. ,,
1667405691,11/02/2022 16:14:51 +00:00,2,40.3514,-79.97,15227,,,
1667405841,11/02/2022 16:17:21 +00:00,5,40.4267,-79.9203,15217,Rich Fitzgerald,,
1667407730,11/02/2022 16:48:50 +00:00,4,40.3862,-79.8584,15122,hydrogen sulfide,,odor getting stronger
1667408171,11/02/2022 16:56:11 +00:00,5,40.487,-79.9255,15206,"Sulphuric, rotten",,
1667409315,11/02/2022 17:15:15 +00:00,4,40.4263,-79.9359,15217,,,
1667413663,11/02/2022 18:27:43 +00:00,4,40.4283,-79.9395,15207,Sulphuric ,Headache,
1667415976,11/02/2022 19:06:16 +00:00,5,40.4851,-80.0466,15212,,,
1667416925,11/02/2022 19:22:05 +00:00,5,40.4461,-79.9922,15222,Farts,Headache,
1667417570,11/02/2022 19:32:50 +00:00,3,40.4286,-79.8828,15218,"Acrid industrial. Still in large inversion, going on all day. ",,
1667418017,11/02/2022 19:40:17 +00:00,4,40.3181,-79.8981,15025,,,
1667418138,11/02/2022 19:42:18 +00:00,3,40.3839,-80.0366,15216,,Eye irritation,
1667420138,11/02/2022 20:15:38 +00:00,5,40.3665,-79.8597,15122,Smells like US Steel workers ate paella out of their mothers' corpses.,,
1667429026,11/02/2022 22:43:46 +00:00,3,40.4968,-80.2081,15108,Chemical like paint,,Could someone dump chemicals in a nearby stream?
1667431645,11/02/2022 23:27:25 +00:00,5,40.4861,-80.047,15212,,,
1667434512,11/03/2022 00:15:12 +00:00,2,40.4473,-79.953,15213,,,
1667435033,11/03/2022 00:23:53 +00:00,5,40.2852,-79.8086,15135,Burning rubbber,Trouble breathing ,
1667436283,11/03/2022 00:44:43 +00:00,5,40.3583,-79.9088,15122,,,
1667438206,11/03/2022 01:16:46 +00:00,3,40.4264,-79.8843,15218,,,
1667438840,11/03/2022 01:27:20 +00:00,5,40.4892,-79.9255,15206,Why?,"Dear God, why?",
1667449718,11/03/2022 04:28:38 +00:00,4,40.3185,-79.9256,15025,Clairton mill,"Deep cough, trouble breathing outside’",I am new to reporting but this is almost a daily/nightly issue. Can’t open the windows at night because if the odor and now a persistent cough. I thought things were supposed to be better. Where are the regulators?
1667453109,11/03/2022 05:25:09 +00:00,5,40.427,-79.922,15217,Rich Fitzgerald ,,
1667453222,11/03/2022 05:27:02 +00:00,4,40.2988,-80.0559,15102,Industrial,,
1667454584,11/03/2022 05:49:44 +00:00,5,40.4862,-80.0461,15212,,,
1667458230,11/03/2022 06:50:30 +00:00,5,40.3256,-79.8816,15045,Rotten eggs ,Can’t breathe ,
1667468583,11/03/2022 09:43:03 +00:00,1,40.3895,-80.041,15216,,,
1667469764,11/03/2022 10:02:44 +00:00,3,40.4239,-79.9341,15217,,,
1667470433,11/03/2022 10:13:53 +00:00,1,40.3211,-79.967,15025,,,
1667470627,11/03/2022 10:17:07 +00:00,5,40.4888,-79.9245,15206,h*ll ,"Everything hurts. Bodily inflammation, intense headache, deep nausea, irritated burning eyes, irritated burning nose, irritated burning throat, irritated burning lungs, tachycardia throughout the whole night, insomnia, sleeplessness, anxiety, truly just utterly despairing over here",
1667470722,11/03/2022 10:18:42 +00:00,5,40.4873,-79.9234,15206,Acrid sulfur stench,"sore ear, nose, throat, eyes. congestion.",
1667470996,11/03/2022 10:23:16 +00:00,5,40.3174,-80.0543,15102,Typical Pittsburgh stench driven by unregulated chemicals,,
1667471530,11/03/2022 10:32:10 +00:00,1,40.3167,-79.9942,15236,,,
1667475965,11/03/2022 11:46:05 +00:00,4,40.4212,-79.9222,15217,Industrial,,
1667476290,11/03/2022 11:51:30 +00:00,5,40.4264,-79.9209,15217,Rich Fitzgerald ,,
1667477667,11/03/2022 12:14:27 +00:00,3,40.4153,-79.9046,15120,,,
1667477851,11/03/2022 12:17:31 +00:00,5,40.6593,-79.7481,15065,Raw sewage ,"Headache, nausea",
1667478935,11/03/2022 12:35:35 +00:00,4,40.4441,-79.961,15213,Industrial exhaust,,
1667479453,11/03/2022 12:44:13 +00:00,5,40.5172,-80.1664,15108,Industrial chemical pungent. ,Hard to breathe. Sore throat burning eyes and nose ,
1667481105,11/03/2022 13:11:45 +00:00,5,40.4275,-79.916,15217,"
Industrial",,
1667481206,11/03/2022 13:13:26 +00:00,3,40.5706,-80.069,15237,,,
1667481871,11/03/2022 13:24:31 +00:00,3,40.3445,-80.0486,15102,"Industrial, metallic maybe",,
1667483866,11/03/2022 13:57:46 +00:00,3,40.3852,-80.0455,15228,,,
1667483911,11/03/2022 13:58:31 +00:00,5,40.3167,-80.0453,15102,TOXIC GAS HAZE OVER ENTIRE AREA.  Staying indoors does NOT HELP. It comes inside. ,"Asphyxiation, baby coughing! ",PLEASE STOP THE POLLUTERS!  
1667484403,11/03/2022 14:06:43 +00:00,4,40.4268,-79.8819,15218,,,
1667486137,11/03/2022 14:35:37 +00:00,5,40.4851,-80.0479,15212,,,
1667486294,11/03/2022 14:38:14 +00:00,5,40.4889,-80.1257,15108,Plastic/chemical ,"Headache, dizzy, weak ","Had several bad smells in the air in coraopolis, Pa. Afraid of breathing in toxins and for our baby. This can’t be good for anyones health "
1667486742,11/03/2022 14:45:42 +00:00,3,40.3345,-79.9239,15122,Rotten eggs,Mental stress,
1667488010,11/03/2022 15:06:50 +00:00,5,40.4212,-79.9054,15218,Us f-ing steel ,,
1667488484,11/03/2022 15:14:44 +00:00,4,40.4232,-79.8789,15218,Rotten eggs,,
1667489358,11/03/2022 15:29:18 +00:00,2,40.48,-79.9457,15201,Indistrial,,
1667489973,11/03/2022 15:39:33 +00:00,3,40.4206,-79.9236,15217,industrial ,,
1667490932,11/03/2022 15:55:32 +00:00,4,40.4364,-79.8944,15221,,,
1667491061,11/03/2022 15:57:41 +00:00,5,40.4418,-79.9612,15213,Industrial sulfur ,,
1667491128,11/03/2022 15:58:48 +00:00,5,40.4229,-79.9352,15217,Hot tar and sulfur cocktail,Headache ,Smell has seeped indoors despite closed windows and doors 
1667491928,11/03/2022 16:12:08 +00:00,5,40.4221,-79.9303,15217,Sulphur ,"Headache, sore throat ",
1667492033,11/03/2022 16:13:53 +00:00,5,40.4315,-79.8857,15218,Hydrogen sulfide,,
1667492582,11/03/2022 16:23:02 +00:00,4,40.4377,-80.0199,15211,Acrid industrial sulfur,,
1667492816,11/03/2022 16:26:56 +00:00,5,40.479,-79.925,15206,"Sulfur, industrial","Congestion, cough",
1667493095,11/03/2022 16:31:35 +00:00,4,40.4416,-79.9161,15217,Kind of musty,My chest is tight. I geel like I can't breathe. It's exhausting.,
1667493467,11/03/2022 16:37:47 +00:00,3,40.4533,-79.9533,15213,burning chemicals/ burning plastic / burning rubber ,headache and climate anxiety ,
1667493498,11/03/2022 16:38:18 +00:00,3,40.3449,-79.8763,15133,Industrial ,,Been this way since 9am
1667493545,11/03/2022 16:39:05 +00:00,4,40.4208,-79.8807,15218,"Industrial, sulfur ","Awful, midday.. just terrible ",
1667493918,11/03/2022 16:45:18 +00:00,5,40.4971,-79.925,15215,"Sulphur, rotten eggs, industrial, sewage","Headache, cough, need to clear throat",
1667494118,11/03/2022 16:48:38 +00:00,4,40.4459,-79.9051,15208,,,
1667494240,11/03/2022 16:50:40 +00:00,4,40.436,-79.9321,15217,Industrial,,
1667494603,11/03/2022 16:56:43 +00:00,5,40.4498,-79.9575,15219,,,
1667494610,11/03/2022 16:56:50 +00:00,5,40.4508,-79.9011,15208,Industrial and hydrogen sulfide ,,Us steel 
1667495177,11/03/2022 17:06:17 +00:00,4,40.4192,-79.9341,15217,"Industrial smells, rotten egg like",,Made the mistake of opening my windows in nice weather :(
1667495229,11/03/2022 17:07:09 +00:00,4,40.4608,-79.924,15206,,,
1667495786,11/03/2022 17:16:26 +00:00,3,40.4567,-79.9285,15232,"Exhaust, light sulfur",,
1667496376,11/03/2022 17:26:16 +00:00,4,40.4242,-79.8878,15218,Same old industrial ,"Eye irritation, congestion ",Sure love having to have my windows closed on a 70 degree day and STILL smelling this noxious cr*p in my house.
1667496524,11/03/2022 17:28:44 +00:00,5,40.4526,-79.9274,15232,"Rotten eggs, sewer","Headache, eye issues",
1667496539,11/03/2022 17:28:59 +00:00,4,40.4449,-79.9071,15208,Industrial ,,
1667496727,11/03/2022 17:32:07 +00:00,4,40.4377,-79.893,15221,horrific,,
1667496853,11/03/2022 17:34:13 +00:00,5,40.4423,-79.9608,15213,Industrial sulfur ,Dizzy light headed unable to concentrate burning throat despair,
1667497118,11/03/2022 17:38:38 +00:00,3,40.4599,-79.9345,15232,Industrial ,Heavy smell,
1667497471,11/03/2022 17:44:31 +00:00,4,40.4233,-79.9263,15217,,Irritating my lungs ,
1667497710,11/03/2022 17:48:30 +00:00,4,40.4801,-79.946,15201,"Coal, sulfur","Itchy throat, runny nose",Shut down Clairton Works!
1667498425,11/03/2022 18:00:25 +00:00,5,40.4483,-79.9028,15208,Chemicals and rotten eggs,"Burning throat, eyes and headache ",
1667498786,11/03/2022 18:06:26 +00:00,1,40.4657,-79.9586,15201,,,
1667499551,11/03/2022 18:19:11 +00:00,3,40.4256,-79.98,15203,Industrial,Headache,
1667500419,11/03/2022 18:33:39 +00:00,3,40.4434,-79.9443,15213,Industrial,,
1667501498,11/03/2022 18:51:38 +00:00,4,40.3845,-80.0356,15216,You can taste the air. The air is thick,"Eye irritation, throat irritation, headache",
1667505718,11/03/2022 20:01:58 +00:00,4,40.4152,-79.9002,15120,Sulphuric ,,
1667508859,11/03/2022 20:54:19 +00:00,1,40.4423,-80.0123,15222,,,
1667516465,11/03/2022 23:01:05 +00:00,1,40.4584,-79.9183,15206,,,
1667520951,11/04/2022 00:15:51 +00:00,4,40.4341,-79.8776,15218,Deep thick farty smell ,Nausea ,
1667523591,11/04/2022 00:59:51 +00:00,5,40.4448,-79.9091,15208,Rotten eggs. Gas,Eyes irritation,Why we gotta live this way?
1667524191,11/04/2022 01:09:51 +00:00,4,40.3071,-80.0477,15102,Foul wood smoke,,
1667524577,11/04/2022 01:16:17 +00:00,5,40.4416,-79.9163,15217,,,
1667525318,11/04/2022 01:28:38 +00:00,4,40.4416,-79.9245,15217,Rotten eggs,,
1667525556,11/04/2022 01:32:36 +00:00,5,40.4221,-79.9391,15217,Sulfur,,
1667525914,11/04/2022 01:38:34 +00:00,4,40.4266,-79.9358,15217,,,
1667526866,11/04/2022 01:54:26 +00:00,3,40.4436,-79.9,15208,,,
1667527027,11/04/2022 01:57:07 +00:00,4,40.4483,-79.9619,15219,Sulphur rotten eggs typical clairton coke works stench,,
1667527620,11/04/2022 02:07:00 +00:00,3,40.3698,-80.044,15228,Petroleumy ,,
1667527754,11/04/2022 02:09:14 +00:00,4,40.4462,-79.9144,15217,Industrial ,Burning in throat,Smell penetrating closed doors and windows. 
1667527888,11/04/2022 02:11:28 +00:00,5,40.3793,-80.0207,15234,"Industrial, sulphuric, metallic","Eye irritation, headache",Had to close windows on an otherwise pleasant evening because of the stench. Quality of life and freedom is impeded. 
1667528363,11/04/2022 02:19:23 +00:00,5,40.371,-79.9651,15227,Industrial ,,
1667529580,11/04/2022 02:39:40 +00:00,5,40.432,-79.9169,15217,Industrial,,
1667531852,11/04/2022 03:17:32 +00:00,5,40.5221,-79.8346,15139,Rotten-eggs,,
1667532358,11/04/2022 03:25:58 +00:00,4,40.447,-79.9145,15217,,,
1667533896,11/04/2022 03:51:36 +00:00,5,40.311,-79.8964,15025,,,
1667534862,11/04/2022 04:07:42 +00:00,4,40.3669,-79.9202,15207,Slag,,
1667537084,11/04/2022 04:44:44 +00:00,3,40.4604,-79.9383,15232,Woodsmoke industrial ,,Keeping my windows closed tonight that’s forsure 
1667545423,11/04/2022 07:03:43 +00:00,3,40.4539,-79.9526,15213,burning plastic or rubber,headache and climate anxiety ,
1667548493,11/04/2022 07:54:53 +00:00,5,40.4472,-79.9022,15208,Sulfur dioxide ,Sore throat ,
1667551014,11/04/2022 08:36:54 +00:00,3,40.5118,-79.922,15215,Rotten eggs ,,
1667553313,11/04/2022 09:15:13 +00:00,4,40.5402,-79.9352,15116,Industrial Smog Sulfur Coke,,
1667555518,11/04/2022 09:51:58 +00:00,5,40.4888,-79.926,15206,The same smell as every other day: Industrial acrid sulfuric stench with the smell of exhaust peppered in for extra flavor ,"Woke me from deep sleep at 3:45am, insomnia, tachycardia, headache, irritated eyes, irritated nose, irritated throat, irritated lungs, bodily inflammation, pain, anxiety",
1667555804,11/04/2022 09:56:44 +00:00,4,40.4266,-79.9145,15217,,,
1667555884,11/04/2022 09:58:04 +00:00,4,40.4103,-79.9398,15207,Industrial ,,Rich Fitzgerald eats worms 
1667557111,11/04/2022 10:18:31 +00:00,5,40.3157,-80.0549,15102,Freedom,,
1667557121,11/04/2022 10:18:41 +00:00,5,40.4491,-79.9392,15232,,,
1667557368,11/04/2022 10:22:48 +00:00,5,40.4841,-80.0476,15212,,,
1667557594,11/04/2022 10:26:34 +00:00,5,40.4886,-79.9233,15206,the daily egg gassing ,"congestion, sore throat, and irritated eyes. restlessness. anger at US Steel and Rich Fitzgerald for their utter inhumanity as they put their greed above our health, watching us all slowly suffer to death.",
1667558183,11/04/2022 10:36:23 +00:00,4,40.4398,-79.895,15221,Rotten eggs,,
1667558711,11/04/2022 10:45:11 +00:00,3,40.4245,-79.89,15218,,,
1667561144,11/04/2022 11:25:44 +00:00,4,40.4428,-79.9606,15213,Industrial  sulfur  chemical,fatigue runny nose cough.,
1667561907,11/04/2022 11:38:27 +00:00,2,40.5304,-79.9656,15116,Industrial ,,
1667562529,11/04/2022 11:48:49 +00:00,5,40.4704,-79.9152,15206,Sulfur,"Sleeplessness, trouble breathing",The achd is an incompetent mess and a shameful advocate for health. You are a disgrace
1667563120,11/04/2022 11:58:40 +00:00,3,40.2864,-79.8063,15135,,"Coughing, trouble breathing ",
1667563191,11/04/2022 11:59:51 +00:00,3,40.4228,-79.9245,15217,Sulfer,,
1667563487,11/04/2022 12:04:47 +00:00,3,40.4566,-79.9294,15232,,,
1667563743,11/04/2022 12:09:03 +00:00,3,40.4416,-79.8926,15221,,,
1667564867,11/04/2022 12:27:47 +00:00,5,40.4261,-79.8854,15218,Sulfur exhaust ,"Unbreathable, headache",
1667565126,11/04/2022 12:32:06 +00:00,4,40.4321,-79.9161,15217,"Industrial, typical Pittsburgh smell that gross",,
1667565160,11/04/2022 12:32:40 +00:00,3,40.4406,-79.917,15217,Industrial,,
1667565273,11/04/2022 12:34:33 +00:00,5,40.4317,-79.9152,15217,"Poison, industrial, Pittsburgh ",Annoyed that my kid has to be exposed to this and no one will do anything about it even knowing that it’s horrible for the citizens. Disgraceful ,
1667565345,11/04/2022 12:35:45 +00:00,3,40.4242,-79.8834,15218,Sulphur,Difficulty breathing,
1667565826,11/04/2022 12:43:46 +00:00,4,40.4281,-79.9226,15217,Clairton industrial smell,,
1667566357,11/04/2022 12:52:37 +00:00,4,40.4576,-79.9277,15232,Burnt chemical,,
1667566450,11/04/2022 12:54:10 +00:00,5,40.4278,-79.9221,15217,Rich Fitzgerald ,,
1667566796,11/04/2022 12:59:56 +00:00,3,40.4208,-79.9243,15217,Acrid smell,,
1667567083,11/04/2022 13:04:43 +00:00,5,40.3398,-79.8786,15133,Mill debris particles,Hard to breathe,"Every day, so toxic"
1667567092,11/04/2022 13:04:52 +00:00,5,40.4321,-79.8774,15218,Sulphur ,Can’t breathe ,
1667567790,11/04/2022 13:16:30 +00:00,5,40.4281,-79.9147,15217,Industrial,,
1667568189,11/04/2022 13:23:09 +00:00,4,40.422,-79.8806,15218,"Industrial, sulfur ",,
1667568708,11/04/2022 13:31:48 +00:00,3,40.4849,-79.9415,15201,Pungent car exhaust smell,Stuffy nose,
1667569635,11/04/2022 13:47:15 +00:00,5,40.4462,-79.8976,15221,,,
1667569734,11/04/2022 13:48:54 +00:00,4,40.4635,-79.9392,15224,Acrid sooty,Burning in throat and coughing. I’m so sick of this sip pollution!,
1667570204,11/04/2022 13:56:44 +00:00,4,40.4286,-79.8818,15218,Burning coal,,
1667570373,11/04/2022 13:59:33 +00:00,5,40.4353,-79.8957,15221,Soot,,
1667571113,11/04/2022 14:11:53 +00:00,3,40.4524,-79.9146,15206,Industrial ,,
1667571229,11/04/2022 14:13:49 +00:00,5,40.4836,-80.0491,15212,,,
1667571393,11/04/2022 14:16:33 +00:00,3,40.4348,-79.8846,15218,gross,,
1667571686,11/04/2022 14:21:26 +00:00,4,40.4233,-79.8625,15221,"Sulfur, industrial",,
1667572147,11/04/2022 14:29:07 +00:00,4,40.4254,-79.8827,15218,,,
1667572270,11/04/2022 14:31:10 +00:00,5,40.42,-79.9067,15218,Rich Fitzgerald. Unlivable city.,,
1667572589,11/04/2022 14:36:29 +00:00,5,40.4488,-79.9033,15208,Sulfur dioxide ,Headache ,
1667572694,11/04/2022 14:38:14 +00:00,5,40.3491,-79.8688,15132,Industrisl,,
1667573273,11/04/2022 14:47:53 +00:00,4,40.3281,-79.8883,15045,Chemical or industrial ,Nose and throat ,
1667574276,11/04/2022 15:04:36 +00:00,3,40.3868,-79.8603,15122,sulfur dioxide!,,"not hydrogen sulfide, as we had a couple days ago"
1667578829,11/04/2022 16:20:29 +00:00,5,40.5109,-80.1045,15202,Burning /melting hot plastics/wiring,"Headache, wheezing",Odor is coming from the shredder at Metalico Recycling on Neville Island
1667580313,11/04/2022 16:45:13 +00:00,5,40.4316,-79.7856,15146,,,
1667580434,11/04/2022 16:47:14 +00:00,3,40.4421,-79.8365,15235,Rotten eggs,,
1667580620,11/04/2022 16:50:20 +00:00,4,40.4435,-79.9191,15217,,Burning eye,
1667580879,11/04/2022 16:54:39 +00:00,5,40.434,-79.9165,15217,Sulfur,,"The clairton plant should be sued, but no one on here will do anything except complain. Enjoy the rotten eggs. No action, just words. "
1667581203,11/04/2022 17:00:03 +00:00,5,40.4336,-79.9172,15217,The clairton plant should be sued and held responsible. But no action from folks on here. Just empty words. Go take some action.  ,,
1667585901,11/04/2022 18:18:21 +00:00,4,40.4183,-79.9377,15207,Industrial,Headache ,
1667587125,11/04/2022 18:38:45 +00:00,5,40.6564,-79.7428,15065,Raw sewage ,"Headache, nausea ",
1667587967,11/04/2022 18:52:47 +00:00,5,40.425,-79.9951,15210,Burning chemicals,,
1667588293,11/04/2022 18:58:13 +00:00,4,40.4221,-79.8966,15218,Burning rubber,Iritated eyes and nose,
1667588306,11/04/2022 18:58:26 +00:00,4,40.4218,-79.8974,15218,Tar like rubbery gross smell,,
1667592801,11/04/2022 20:13:21 +00:00,4,40.3634,-79.9641,15227,"Metal, stinky",Nose burm,Near the tmi international scrap yard 
1667593287,11/04/2022 20:21:27 +00:00,5,40.4461,-79.9073,15208,Sulfur dioxide ,Headache ,
1667594405,11/04/2022 20:40:05 +00:00,4,40.4262,-79.8871,15218,Industrial sulfur ,,2nd report
1667594530,11/04/2022 20:42:10 +00:00,3,40.4605,-79.9487,15224,Sewage ,,
1667594926,11/04/2022 20:48:46 +00:00,1,40.3326,-80.0299,15102,,,
1667596876,11/04/2022 21:21:16 +00:00,3,40.3886,-80.0407,15216,Burning,,
1667598846,11/04/2022 21:54:06 +00:00,3,40.37,-80.0854,15243,Firepit,,Why are these legal?
1667599773,11/04/2022 22:09:33 +00:00,1,40.3214,-79.966,15025,,,
1667600130,11/04/2022 22:15:30 +00:00,5,40.6592,-79.7449,15065,,,
1667604238,11/04/2022 23:23:58 +00:00,3,40.4171,-79.878,15218,Industrial sulphuric ,Headache eyes burning nausea,
1667606042,11/04/2022 23:54:02 +00:00,2,40.4744,-79.9208,15206,Industrial ,,
1667607740,11/05/2022 00:22:20 +00:00,4,40.4496,-79.9097,15208,industrial ,,
1667607941,11/05/2022 00:25:41 +00:00,5,40.4274,-79.919,15217,,,
1667608765,11/05/2022 00:39:25 +00:00,3,40.4429,-79.9351,15217,Sulphur maybe also woodsmoke,Tired disappointment ,
1667609057,11/05/2022 00:44:17 +00:00,4,40.4275,-79.8848,15218,Wood smoke. ,,
1667614915,11/05/2022 02:21:55 +00:00,5,40.4853,-80.0488,15212,,,
1667614959,11/05/2022 02:22:39 +00:00,3,40.4353,-79.8861,15218,rotten ,,
1667615975,11/05/2022 02:39:35 +00:00,5,40.4311,-79.885,15218,Hydrogen sulfide,,
1667617558,11/05/2022 03:05:58 +00:00,5,40.485,-80.0485,15212,,,
1667620179,11/05/2022 03:49:39 +00:00,4,40.424,-79.8877,15218,,,
1667620807,11/05/2022 04:00:07 +00:00,5,40.4853,-80.0481,15212,,,
1667633258,11/05/2022 07:27:38 +00:00,3,40.4737,-79.9204,15206,,,Had to close windows
1667633592,11/05/2022 07:33:12 +00:00,3,40.4547,-79.914,15206,,,
1667636478,11/05/2022 08:21:18 +00:00,5,40.484,-80.0476,15212,,,
1667644622,11/05/2022 10:37:02 +00:00,5,40.4609,-80.0047,15212,"industrial, smoggy, rotten",,
1667647307,11/05/2022 11:21:47 +00:00,4,40.4278,-79.9145,15217,toxic indiatrial,,
1667648363,11/05/2022 11:39:23 +00:00,5,40.4477,-79.913,15217,So far with a sweet tinge,,Just step outside the front door and it hits you.
1667649481,11/05/2022 11:58:01 +00:00,3,40.4697,-79.9589,15201,Burning plastic,,
1667649919,11/05/2022 12:05:19 +00:00,4,40.4875,-79.9246,15206,,,
1667652254,11/05/2022 12:44:14 +00:00,5,40.4205,-79.9061,15218,Us steel and rich Fitzgerald ,,
1667653815,11/05/2022 13:10:15 +00:00,4,40.4564,-80.0011,15212,Stinky ,,
1667654019,11/05/2022 13:13:39 +00:00,3,40.4321,-79.9156,15217,"Industrial, Fitzgerald ",,
1667654479,11/05/2022 13:21:19 +00:00,3,40.4337,-79.8828,15218,Industrial exhaust ,,
1667654792,11/05/2022 13:26:32 +00:00,4,40.4459,-79.9029,15208,sulfur,,
1667657061,11/05/2022 14:04:21 +00:00,4,40.3548,-79.9019,15122,,,
1667657789,11/05/2022 14:16:29 +00:00,3,40.4286,-79.9775,15203,Stinky eggs,,
1667657897,11/05/2022 14:18:17 +00:00,3,40.4246,-79.8791,15218,,,
1667658535,11/05/2022 14:28:55 +00:00,3,40.4431,-79.941,15213,Industrial,,
1667658817,11/05/2022 14:33:37 +00:00,5,40.4268,-79.9724,15203,industrial,,
1667659064,11/05/2022 14:37:44 +00:00,3,40.4323,-79.9424,15207,Sulfur,,
1667659155,11/05/2022 14:39:15 +00:00,5,40.3464,-79.8925,15034,"Industrial, acrid","Stuffy nose, sore throat. It’s a beautiful day in the neighborhood unless you live by a US Steel factory in which case you and your five week old are being poisoned by a company with no remorse and tons of money to buy off local politicians and ads… I just want to go outside with my baby on this beautiful day. Or at least not have the smell make it into my house and hurt my newborn child. ",
1667660470,11/05/2022 15:01:10 +00:00,4,40.4331,-79.9101,15217,Industrial,,
